component_id,weight
C-1563,0.037
C-1564,0.197
C-1565,0.169
C-1566,0.69
C-1567,0.022
C-1568,1
C-1569,NA
C-1570,NA
C-1571,1.2
C-1572,NA
C-1573,NA
C-1574,0.098
C-1575,1.44
C-1576,0.723
C-1577,0.091
C-1578,0.091
C-1579,0.114
C-1580,0.021
C-1581,3.433
C-1582,0.004
C-1583,0.256
C-1584,0.516
C-1585,0.064
C-1586,0.093
C-1587,0.145
C-1588,0.225
C-1589,0.25
C-1590,1.966
C-1591,0.514
C-1592,0.735
C-1593,0.136
C-1594,0.469
C-1595,0.03
C-1596,NA
C-1597,0.031
C-1598,1.154
C-1599,1.193
C-1600,1.338
C-1601,1.421
C-1602,1.659
C-1603,1.641
C-1604,1.564
C-1605,1.672
C-1606,1.715
C-1607,2.237
C-1608,2.653
C-1609,2.535
C-1610,2.35
C-1611,4.86
C-1612,4.448
C-1613,3.939
C-1614,2.35
C-1615,2.183
C-1616,0.799
C-1617,1.845
C-1618,0.001
C-1619,0.001
C-1620,0.016
C-1621,0.015
C-1622,0.036
C-1623,0.044
C-1624,0.035
C-1625,0.129
C-1626,0.154
C-1627,0.005
C-1628,0.006
C-1629,0.012
C-1630,0.018
C-1631,0.026
C-1632,0.033
C-1633,0.04
C-1634,0.06
C-1635,0.025
C-1636,1.33
C-1637,0.03
C-1638,0.04
C-1639,0.05
C-1640,0.104
C-1641,0.149
C-1642,0.225
C-1643,0.06
C-1644,0.16
C-1645,0.02
C-1646,0.04
C-1647,0.05
C-1648,0.097
C-1649,0.22
C-1650,0.05
C-1651,NA
C-1652,0.045
C-1653,0.03
C-1654,0.029
C-1655,0.025
C-1656,0.023
C-1657,0.02
C-1658,0.021
C-1659,0.019
C-1660,0.012
C-1661,0.005
C-1662,0.038
C-1663,0.4
C-1664,1.046
C-1665,0.685
C-1666,1.719
C-1667,0.072
C-1668,1.33
C-1669,0.002
C-1670,0.079
C-1671,0.005
C-1672,0.003
C-1673,0.187
C-1674,0.035
C-1675,NA
C-1676,NA
C-1677,0.024
C-1678,0.07
C-1679,0.01
C-1680,0.28
C-1681,0.142
C-1682,1.095
C-1683,0.424
C-1684,NA
C-1685,1.167
C-1686,0.666
C-1687,1.579
C-1688,0.044
C-1689,0.124
C-1690,0.66
C-1691,0.78
C-1692,0.03
C-1693,0.017
C-1694,0.2
C-1695,NA
C-1696,0.142
C-1697,0.066
C-1698,0.073
C-1699,0.083
C-1700,0.42
C-1701,0.219
C-1702,0.389
C-1703,0.059
C-1704,0.212
C-1705,1.31
C-1706,1.413
C-1707,0.182
C-1708,0.052
C-1709,0.052
C-1710,0.109
C-1711,0.045
C-1712,0.331
C-1713,0.26
C-1714,0.136
C-1715,0.059
C-1716,0.091
C-1717,0.243
C-1718,0.136
C-1719,0.165
C-1720,0.135
C-1721,0.34
C-1722,0.045
C-1723,0.183
C-1724,0.045
C-1725,0.24
C-1726,0.881
C-1727,0.141
C-1728,0.318
C-1729,0.223
C-1730,0.129
C-1731,NA
C-1732,0.045
C-1733,0.245
C-1734,0.327
C-1735,0.15
C-1736,0.045
C-1737,0.001
C-1738,2.315
C-1739,0.107
C-1740,0.084
C-1741,0.749
C-1742,0.045
C-1743,0.045
C-1744,0.454
C-1745,0.072
C-1746,1.585
C-1747,1.424
C-1748,0.001
C-1749,0.07
C-1750,0.067
C-1751,0.508
C-1752,0.67
C-1753,1.8
C-1754,0.5
C-1755,0.831
C-1756,0.025
C-1757,0.4
C-1758,0.168
C-1759,1.232
C-1760,0.124
C-1761,0.078
C-1762,2.237
C-1763,1.013
C-1764,0.009
C-1765,0.706
C-1766,0.113
C-1767,0.28
C-1768,0.783
C-1769,1.662
C-1770,0.719
C-1771,0.623
C-1772,1.239
C-1773,1.313
C-1774,3.536
C-1775,0.355
C-1776,0.327
C-1777,0.2
C-1778,0.37
C-1779,0.38
C-1780,0.06
C-1781,0.17
C-1782,0.775
C-1783,1.316
C-1784,1.562
C-1785,0.243
C-1786,1.864
C-1787,1.53
C-1788,1.065
C-1789,0.047
C-1790,0.511
C-1791,0.081
C-1792,0.371
C-1793,0.101
C-1794,0.045
C-1795,0.65
C-1796,1.453
C-1797,0.239
C-1798,0.18
C-1799,0.01
C-1800,0.853
C-1801,0.597
C-1802,0.125
C-1803,4.07
C-1804,0.977
C-1805,0.87
C-1806,0.661
C-1807,0.428
C-1808,0.348
C-1809,2.184
C-1810,0.25
C-1811,0.95
C-1812,0.091
C-1813,0.014
C-1814,0.001
C-1815,0.005
C-1816,1.1
C-1817,0.014
C-1818,0.016
C-1819,1.123
C-1820,0.45
C-1821,0.45
C-1822,0.123
C-1823,0.441
C-1824,0.749
C-1825,0.445
C-1826,0.93
C-1827,0.01
C-1828,0.181
C-1829,1.588
C-1830,1.135
C-1831,0.018
C-1832,0.146
C-1833,0.223
C-1834,0.575
C-1835,0.02
C-1836,0.113
C-1837,0.105
C-1838,0.376
C-1839,0.055
C-1840,0.181
C-1841,0.136
C-1842,1.816
C-1843,0.367
C-1844,0.001
C-1845,0.012
C-1846,0.002
C-1847,0.158
C-1848,0.083
C-1849,0.168
C-1850,0.219
C-1851,0.094
C-1852,0.009
C-1853,0.451
C-1854,0.305
C-1855,0.1
C-1856,1
C-1857,NA
C-1858,0.021
C-1859,0.55
C-1860,0.18
C-1861,0.002
C-1862,0.091
C-1863,0.513
C-1864,0.091
C-1865,1.953
C-1866,0.035
C-1867,0.222
C-1868,0.226
C-1869,0.123
C-1870,0.06
C-1871,1.34
C-1872,0.568
C-1873,0.03
C-1874,0.016
C-1875,0.025
C-1876,0.038
C-1877,0.525
C-1878,0.02
C-1879,0.04
C-1880,0.799
C-1881,0.974
C-1882,1.435
C-1883,1.316
C-1884,0.716
C-1885,0.045
C-1886,1.073
C-1887,1.026
C-1888,0.326
C-1889,0.075
C-1890,1.487
C-1891,0.009
C-1892,0.326
C-1893,1.009
C-1894,0.166
C-1895,0.632
C-1896,0.905
C-1897,0.212
C-1898,0.022
C-1899,5.79
C-1900,0.469
C-1901,0.791
C-1902,0.185
C-1903,0.235
C-1904,1.674
C-1905,3.25
C-1906,0.35
C-1907,0.39
C-1908,0.243
C-1909,0.24
C-1910,0.297
C-1911,0.274
C-1912,0.135
C-1913,0.405
C-1914,0.567
C-1915,NA
C-1916,NA
C-1917,0.05
C-1918,1.86
C-1919,1.96
C-1920,0.15
C-1921,1.042
C-1922,1
C-1923,0.773
C-1924,0.09
C-1925,0.197
C-1926,0.188
C-1927,0.07
C-1928,0.079
C-1929,0.257
C-1930,0.26
C-1931,2.67
C-1932,0.336
C-1933,0.451
C-1934,0.45
C-1935,1.766
C-1936,0.158
C-1937,0.004
C-1938,0.862
C-1939,0.098
C-1940,0.005
C-1941,0.035
C-1942,0.1
C-1943,0.288
C-1944,0.091
C-1945,0.091
C-1946,0.527
C-1947,1.271
C-1948,1.062
C-1949,NA
C-1950,0.045
C-1951,0.975
C-1952,0.045
C-1953,0.1
C-1954,0.068
C-1955,0.5
C-1956,0.066
C-1957,1.179
C-1958,0.52
C-1959,NA
C-1960,0.227
C-1961,0.195
C-1962,0.071
C-1963,0.05
C-1964,0.04
C-1965,0.11
C-1966,0.126
C-1967,0.085
C-1968,0.059
C-1969,0.09
C-1970,0.032
C-1971,0.044
C-1972,0.024
C-1973,0.05
C-1974,2.375
C-1975,0.005
C-1976,0.168
C-1977,0.005
C-1978,0.03
C-1979,0.117
C-1980,0.084
C-1981,0.263
C-1982,0.025
C-1983,1.2
C-1984,0.15
C-1985,0.153
C-1986,0.741
C-1987,0.47
C-1988,0.055
C-1989,1.897
C-1990,0.2
C-1991,2
C-1992,1.1
C-1993,0.221
C-1994,0.125
C-1995,0.478
C-1996,0.275
C-1997,1.094
C-1998,0.09
C-1999,0.079
C-2000,2.135
C-2001,0.855
C-2002,0.35
C-2003,0.525
C-2004,0.125
C-2005,0.326
C-2006,0.35
C-2007,0.274
C-2008,0.125
C-2009,0.709
C-2010,1.78
C-2011,0.211
C-2012,0.279
C-2013,0.22
C-2014,0.24
C-2015,1.734
C-2016,1.876
C-2017,0.84
C-2018,1.327
C-2019,1.44
C-2020,1.574
C-2021,1.678
C-2022,2.748
C-2023,1.621
C-2024,0.975
C-2025,0.153
C-2026,0.128
C-2027,0.096
C-2028,0.052
C-2029,0.034
C-2030,0.023
C-2031,6.049
C-2032,0.495
C-2033,0.475
C-2034,0.188
C-2035,0.001
C-2036,0.001
C-2037,0.001
C-2038,0.048
C-2039,NA
C-2040,NA
C-2041,NA
C-2042,0.002
C-2043,0.2
C-2044,0.74
C-2045,0.74
C-2046,1.2
C-2047,0.026
